,EPHA2,PLA2G2A,CD52,HDAC1,PSMB2,CSF3R,JUN,JAK1,PDE4B,PTGER3,PTGFR,F3,DPYD,S1PR1,ATP1A1,PRKAB2,NPR1,IL6R,FDPS,FCER1G,FCGR2A,FCGR3A,FCGR2C,FCGR2B,DDR2,SELP,SOAT1,ATP2B4,HSD11B1,PARP1,EGLN1,GGPS1,MTR,TPO,ODC1,ROCK2,EPAS1,XPO1,PPP3R1,ANXA4,POLE4,TACR1,ADRA2B,IL1R1,CXCR4,DPP4,ITGAV,CALCRL,TFPI,COL3A1,BMPR2,IDH1,ATIC,FN1,TUBA4A,RAMP1,CRBN,PPARG,RAF1,TOP2B,TGFBR2,PTH1R,MAP4,IMPDH2,PARP3,TNNC1,NISCH,PRKCD,PROS1,ATP2C1,AGTR1,MME,PIK3CA,TFRC,ADRA2C,PDGFRA,KIT,KDR,ANXA3,ADH1B,ADH1C,NFKB1,HADH,PDE5A,ANXA5,FGF2,EDNRA,TLR2,ETFDH,CASP3,SLC25A4,SDHA,PTGER4,PRKAA1,GHR,NNT,MOCS2,F2R,CAMLG,HDAC3,NR3C1,ADRB2,CSF1R,PDGFRB,FLT4,F13A1,GABBR1,TUBB,NEU1,PSMB8,PSMB9,RXRB,PPARD,VEGFA,CNR1,TUBE1,IFNGR1,PSMB1,AHR,IL6,OGDH,PPIA,RAMP3,EGFR,VKORC1L1,MDH2,SERPINE1,MET,IMPDH1,AKR1B1,NOS3,PRKAG2,ANGPT2,LPL,ATP6V1B2,GSR,FGFR1,PLAT,IKBKB,FNTA,ATP6V1C1,SLC52A2,JAK2,TEK,SIGMAR1,IL11RA,NPR2,ANXA1,NTRK2,ABCA1,UGCG,ALAD,POLE3,TLR4,FPGS,ABL1,RXRA,TUBB4B,AKR1C2,MRC1,ITGB1,ALOX5,PPIF,NFKB2,ADRA2A,ECHS1,RRM1,HBB,PDE3B,LDHA,CAT,CD44,PRG2,FADS1,FADS2,FTH1,GANAB,VEGFB,PRDX5,CPT1A,CCND1,ANO1,DGAT2,ACAT1,SDHD,NNMT,SCN4B,VWF,TNFRSF1A,VAMP1,GAPDH,CD4,C1S,C1R,M6PR,PDE3A,LDHB,KCNJ8,ABCC9,KRAS,SLC38A2,HDAC7,PRKAG1,TUBA1A,RARG,PDE1B,CDK4,AVPR1A,ATP2B1,TXNRD1,ATP2A2,ALDH2,PRKAB1,P2RX4,HCAR2,FLT1,EDNRB,F10,PARP2,PNP,PSMB5,EGLN3,ACTN1,PGF,CALM1,CKB,MAP1A,ANXA2,CA12,MAP2K1,IDH2,IGF1R,HBA1,CACNA1H,ABCC1,SCNN1B,IL4R,MAPK3,VKORC1,ITGAX,TK2,PSMB10,SLC12A4,VAMP2,ERBB2,THRA,RARA,ACLY,TUBG1,RAMP2,AOC3,HDAC5,ITGB3,COL1A1,CA4,ACE,SCN4A,GAA,YES1,ROCK1,EEF2,MAP2K2,PLIN3,C3,INSR,DNMT1,ICAM1,TYK2,PDE4A,KEAP1,EPOR,BLVRB,EGLN2,AXL,TGFB1,PLAUR,PTGIR,SLC1A5,C5AR1,FTL,FCGRT,FKBP1A,GSS,PROCR,SRC,TOP1,ADA,PTGIS,APP,IFNAR2,IFNAR1,IFNGR2,GART,PDXK,COMT,MAPK1,BCR,CSF2RB,CSNK1E,RPL3,TSPO,MAPK11,TYMP,MAOA,MAOB,HDAC6,HSD17B10,SLC25A5,HPRT1,GABRE,SLC6A8,AVPR2,F8,SEX,AGE
0,27.35,601.9,7.523,55.37,31.78,21.88,499.9,148.3,16.31,24.83,49.59,195.6,16.85,127.5,316.2,27.41,33.93,24.22,89.4,55.78,17.96,21.92,41.4,14.57,35.48,4.277,29.49,32.45,24.19,19.01,40.0,14.12,52.15,2.757,40.37,41.81,170.9,26.01,61.86,25.09,26.27,2.333,10.97,167.1,42.09,80.85,38.29,19.23,138.4,592.4,18.53,42.59,34.85,386.9,19.37,11.9,36.2,45.54,146.8,85.94,315.0,21.98,85.81,275.4,18.36,8.058,95.91,36.38,55.87,26.38,79.13,23.5,22.55,25.25,14.97,132.1,73.28,57.09,13.75,1671.0,6.305,34.71,26.38,10.18,640.0,13.38,8.811,43.55,41.78,28.08,14.9,131.6,14.06,72.33,33.88,17.4,17.95,82.37,122.5,91.81,31.54,14.62,31.21,756.6,102.8,77.76,35.27,385.6,77.79,126.8,47.99,80.19,42.07,233.0,9.007,21.8,273.3,253.3,31.72,22.41,27.09,215.7,94.6,82.49,28.69,108.1,227.7,5.446,61.12,100.1,7.76,35.04,10.01,134.9,122.1,38.66,225.9,36.14,47.99,36.84,39.93,45.6,22.62,12.46,58.84,27.12,41.97,227.3,18.29,67.83,33.93,23.01,73.91,55.45,52.75,166.9,33.27,82.91,13.76,41.64,111.1,40.53,42.13,45.85,31.86,111.3,29.67,452.7,5.258,1042.0,70.81,280.6,115.6,8.614,6.48,2814.0,127.2,204.8,301.4,40.5,30.9,11.39,14.06,34.71,65.87,1153.0,3.548,124.1,138.3,22.18,2201.0,28.96,1374.0,1630.0,95.5,7.488,251.3,16.77,6.116,20.31,217.9,209.1,68.5,142.6,23.07,28.99,98.35,10.08,20.42,51.97,95.4,42.15,38.55,50.61,1.237,19.52,75.27,91.6,49.52,33.45,82.65,22.07,155.2,12.87,91.98,108.9,17.19,284.8,43.62,54.79,56.22,26.19,4.099,23.19,26.53,41.06,63.12,97.12,136.9,4.673,33.61,52.91,80.32,122.2,25.59,48.27,38.65,48.65,32.91,175.9,62.28,67.36,27.1,1570.0,12.04,16.68,10.92,91.86,46.96,34.46,2421.0,109.6,65.33,378.6,29.53,33.44,72.95,98.67,27.32,41.02,13.32,76.2,72.78,121.6,177.4,25.99,12.76,99.48,7.698,9591.0,240.6,159.0,29.98,30.53,26.87,47.63,21.77,122.6,436.1,27.79,29.93,109.8,26.53,20.83,36.94,25.79,23.33,11.17,124.1,2829.0,145.3,17.74,92.54,72.91,50.68,34.25,84.56,333.0,35.22,51.51,62.9,2.929,6.864,2,64.5
1,22.58,1844.0,17.82,61.93,40.74,16.87,243.2,133.6,13.64,28.69,20.21,156.8,38.24,190.4,159.0,28.26,126.3,21.4,72.19,450.1,64.06,106.1,24.65,52.53,71.78,4.538,20.05,72.96,37.87,38.27,40.15,17.44,19.54,9.819,38.14,39.94,317.0,35.52,49.29,50.22,49.39,13.23,8.897,160.0,65.73,29.35,33.52,17.37,48.5,344.4,20.03,125.7,57.84,112.0,10.5,1.941,31.21,132.1,90.32,53.63,301.6,35.28,85.22,261.5,33.09,5.593,103.0,90.11,62.73,29.3,75.27,23.13,20.17,30.82,20.82,88.02,22.16,25.38,7.884,2281.0,11.39,33.98,59.79,9.526,845.1,11.41,11.07,66.87,28.89,23.64,15.97,129.3,8.807,59.87,65.92,24.73,14.94,18.63,60.13,65.25,26.14,12.6,104.2,318.1,15.07,559.8,65.71,249.7,69.94,140.0,93.24,66.58,25.05,104.5,40.06,13.89,204.4,162.4,34.42,5.821,83.94,342.0,80.26,44.13,88.05,138.0,191.2,9.274,95.1,157.8,10.1,25.41,14.9,411.1,114.9,33.62,115.4,18.97,45.24,33.66,34.44,45.63,20.4,23.5,82.83,28.62,31.81,414.7,22.59,20.96,20.62,43.01,45.07,30.91,71.11,89.47,56.4,166.1,148.3,167.4,198.1,73.05,61.31,26.05,155.0,244.0,24.44,42.66,17.7,537.3,168.5,99.03,7.76,22.19,13.14,6384.0,205.0,444.8,313.2,39.71,142.7,12.51,327.6,47.02,72.4,528.5,9.962,256.2,212.2,18.55,1385.0,56.52,959.2,1769.0,73.14,5.271,713.2,43.82,17.73,13.75,149.8,159.7,55.54,93.47,20.73,29.39,107.0,17.88,18.45,51.26,68.06,156.4,25.57,39.3,36.25,22.28,41.58,25.55,25.16,43.66,122.3,10.52,106.9,24.68,152.1,127.5,16.89,508.9,19.24,73.57,36.11,11.22,2.076,25.23,28.75,32.64,52.32,118.4,150.9,5.805,39.97,79.42,51.13,120.2,17.67,50.5,48.61,72.16,39.3,189.2,339.8,41.63,10.84,232.2,11.73,18.26,10.75,84.63,24.11,32.32,1552.0,97.5,113.2,913.4,22.06,28.3,46.27,54.09,25.95,46.46,21.3,163.7,60.74,83.6,109.1,19.3,18.35,126.2,87.89,16480.0,290.0,263.9,49.07,141.0,16.91,50.47,38.87,91.76,300.0,22.46,27.36,64.57,29.6,43.3,58.96,28.36,32.62,15.06,69.38,1750.0,425.7,38.04,233.8,196.1,49.06,36.52,126.3,286.8,23.72,69.43,33.36,15.43,9.967,1,54.5
2,49.33,216.0,14.29,58.19,34.94,6.507,491.8,121.5,9.83,4.364,30.49,95.22,27.17,117.5,104.7,38.09,43.88,22.75,74.94,92.96,14.33,6.404,21.26,29.63,77.77,31.54,10.73,75.51,10.82,31.78,37.84,19.42,21.66,14.09,40.25,46.46,319.3,39.93,49.58,70.57,57.78,16.15,47.0,73.95,20.15,48.17,37.94,26.18,60.92,852.7,28.15,49.76,30.81,262.9,16.13,15.91,42.36,45.87,102.2,66.82,368.6,14.81,90.66,278.9,29.6,26.35,80.62,32.42,65.03,26.74,41.37,9.878,19.94,11.36,22.54,73.51,27.27,39.86,14.2,526.1,18.88,36.46,33.41,79.18,699.8,17.59,65.46,5.338,18.61,21.08,19.17,98.85,26.98,63.99,20.95,19.31,26.93,31.95,86.27,73.97,56.52,8.311,66.87,383.4,27.75,155.3,54.32,360.8,51.68,151.7,111.5,69.98,24.25,51.33,14.89,21.96,119.3,150.1,85.47,2.845,59.93,323.5,118.5,37.12,24.86,92.22,46.04,13.04,45.3,81.97,17.26,24.93,17.2,37.97,59.67,24.48,110.0,90.06,50.1,40.37,24.77,24.48,21.48,37.55,57.99,47.44,39.38,361.2,56.0,20.4,17.89,42.9,50.71,20.08,31.55,75.33,33.06,106.2,43.03,32.73,167.5,11.2,12.3,41.33,151.6,124.0,24.23,109.2,2.286,277.6,113.1,312.7,8.413,6.029,17.32,1255.0,144.0,223.1,316.1,46.85,43.4,49.37,10.37,41.4,72.47,160.1,33.55,175.6,145.6,37.92,1128.0,82.98,678.8,839.5,51.34,34.63,262.0,47.86,25.15,18.18,149.0,149.0,60.5,205.4,49.4,29.3,83.15,29.96,25.2,31.09,61.82,47.23,29.52,24.39,1.961,18.31,18.11,64.41,35.28,16.82,77.47,3.843,140.1,50.55,251.6,123.5,28.11,490.3,8.775,55.64,24.02,20.42,0.9416,33.88,19.32,16.15,57.29,97.1,175.0,4.351,27.51,70.37,66.83,143.6,26.82,45.5,53.57,58.75,27.02,351.6,289.9,58.58,19.31,772.0,4.869,43.53,3.652,50.58,26.11,50.87,1611.0,77.51,45.97,405.0,11.93,24.71,38.6,48.75,25.06,38.56,17.94,97.79,62.68,109.7,77.1,8.903,12.3,41.74,7.144,8668.0,258.8,299.8,34.98,91.22,14.82,42.26,30.6,87.25,325.5,19.82,26.76,52.83,22.21,10.83,39.31,29.47,20.24,17.79,78.73,2486.0,204.4,36.44,99.32,59.33,54.31,37.32,85.83,241.2,20.36,38.87,10.73,27.73,12.11,1,64.5
3,32.14,284.9,875.6,54.61,36.19,59.59,825.0,88.05,19.27,10.83,34.88,81.67,28.17,78.93,112.8,18.82,29.36,29.24,76.4,395.3,60.81,266.6,57.46,36.6,27.71,12.21,31.49,48.56,78.64,29.18,33.65,14.03,18.77,1.073,20.58,25.51,164.8,27.31,48.87,40.4,33.8,11.5,32.29,84.69,212.8,29.37,49.36,8.34,49.82,944.9,17.85,108.6,41.19,775.8,14.14,13.68,27.08,43.1,81.8,48.87,180.7,15.86,63.05,159.0,29.15,3.022,62.66,63.93,45.87,23.45,20.8,53.99,12.08,508.0,13.6,51.98,4.895,25.27,6.98,468.8,15.06,41.38,27.63,13.58,815.9,9.899,16.09,35.76,27.49,25.58,10.46,100.7,44.94,42.25,14.29,17.46,16.97,52.51,57.53,81.09,30.79,15.2,132.0,370.4,10.3,85.6,36.33,388.3,59.11,137.2,114.5,60.74,42.99,107.0,2.479,11.66,155.6,149.2,39.16,54.11,56.03,286.9,75.2,16.52,37.53,85.98,243.7,5.771,66.83,117.1,6.194,18.29,15.32,326.3,174.7,29.63,83.01,16.7,40.72,28.99,33.17,43.47,18.04,15.44,58.44,39.13,22.9,340.9,24.02,16.94,63.29,24.48,47.63,20.88,47.45,72.1,27.97,145.1,27.64,29.22,145.7,49.24,66.75,59.88,63.96,163.6,17.96,190.5,10.2,393.5,118.7,154.9,21.73,21.88,23.11,5384.0,139.7,246.8,310.1,41.31,53.94,19.85,132.7,25.53,53.74,254.2,10.94,216.4,165.1,33.21,1404.0,102.7,879.3,1088.0,96.3,7.592,293.8,22.42,7.91,15.51,105.5,104.6,50.65,331.8,18.64,56.17,65.58,18.39,29.85,33.13,61.37,57.55,18.7,84.39,9.583,15.86,19.09,21.59,35.07,46.07,91.0,15.14,143.5,19.52,154.0,84.53,15.62,528.2,21.05,58.49,54.31,8.521,5.143,15.89,17.39,6.067,55.04,81.91,184.7,153.9,30.74,127.9,46.64,91.32,10.85,42.26,56.11,54.94,38.99,168.2,154.8,33.06,9.255,1164.0,5.74,47.69,4.917,132.3,22.28,28.65,1135.0,85.82,73.58,478.1,8.666,31.93,77.57,74.43,30.01,37.32,15.14,160.8,53.99,62.83,164.9,86.16,17.86,65.29,255.5,42540.0,420.7,350.2,49.64,27.49,22.8,36.71,25.6,59.93,237.2,34.64,28.89,90.42,19.56,36.11,52.41,24.29,12.82,21.48,62.17,1607.0,277.4,25.27,366.1,32.14,35.61,34.27,61.07,243.4,27.29,52.58,15.43,11.63,9.028,1,64.5
4,26.2,823.9,18.98,41.08,27.72,18.54,165.5,138.3,6.034,39.49,15.21,138.1,18.38,320.5,134.2,17.64,100.5,8.627,67.35,72.74,15.58,13.13,6.425,8.34,58.72,22.37,13.8,71.75,7.28,23.58,27.4,15.45,17.58,11.35,23.82,63.45,635.0,24.48,45.05,20.25,41.19,19.81,7.624,90.38,33.24,1.388,39.24,52.39,48.21,270.6,28.31,106.1,42.09,113.6,13.53,2.424,30.49,207.4,71.72,53.2,371.1,39.53,79.34,132.3,24.66,2.321,52.56,41.1,41.22,24.16,133.1,35.53,25.54,23.6,23.48,54.66,7.613,58.3,39.39,1468.0,13.85,23.55,52.41,10.51,636.2,34.43,4.77,21.3,23.52,14.85,11.44,77.18,14.86,66.52,103.9,29.21,16.48,33.08,51.12,38.68,28.15,59.77,31.73,170.1,23.54,127.0,38.55,199.7,25.27,82.87,46.08,55.07,21.95,137.7,36.92,12.78,224.4,106.8,43.9,6.133,51.51,195.1,180.4,42.25,47.97,80.02,44.05,19.4,68.48,88.96,14.22,29.56,13.73,870.2,57.2,22.84,100.6,27.72,42.86,29.95,27.26,27.21,29.47,49.75,39.44,22.1,21.58,202.6,15.45,55.39,20.56,39.15,32.09,38.04,48.31,62.7,44.17,149.5,112.1,58.55,271.3,18.42,34.66,16.18,33.04,177.9,20.07,158.4,26.64,250.5,152.4,47.27,4.07,44.97,21.88,1917.0,128.0,285.5,177.7,31.79,144.9,12.77,134.8,37.63,50.85,246.8,28.36,412.9,131.5,10.91,609.4,26.34,537.7,631.6,53.38,6.847,545.9,24.34,11.94,13.97,248.3,84.83,46.03,61.66,6.196,22.11,43.51,27.45,11.91,36.52,54.28,95.7,33.25,11.15,5.697,36.11,125.9,5.188,19.32,30.25,66.95,3.031,83.73,8.841,168.1,117.6,3.203,365.2,1.485,49.2,18.99,14.91,2.828,16.65,20.35,31.13,36.91,68.98,73.74,9.481,30.16,36.74,53.2,76.82,7.516,35.24,20.56,60.16,32.37,305.4,304.3,25.88,10.96,62.73,45.97,4.281,39.77,37.3,32.12,28.75,1199.0,61.13,25.18,408.0,25.56,19.01,28.35,38.9,16.31,34.16,21.96,49.92,38.86,37.07,46.5,4.722,1.84,64.35,32.62,8996.0,140.5,226.7,30.0,25.55,7.125,41.47,13.58,7.247,286.9,19.8,25.91,47.4,25.62,31.53,28.93,20.62,23.58,8.975,74.17,1286.0,205.9,52.78,102.9,213.5,42.74,33.88,74.51,215.8,15.41,81.18,35.4,16.64,31.73,1,64.5
5,19.12,297.8,16.85,35.71,25.65,10.84,50.77,97.27,3.356,46.61,10.42,134.4,13.74,145.9,83.47,20.24,79.92,13.7,60.36,95.81,19.33,19.72,27.32,12.9,79.46,4.542,10.49,59.29,72.45,23.68,22.01,16.96,16.88,12.65,25.39,69.55,403.2,22.12,41.32,21.51,42.18,5.696,11.1,64.39,32.67,3.109,34.09,29.18,23.95,243.0,20.13,111.6,40.5,65.92,12.01,4.467,23.54,150.3,69.05,43.15,217.6,30.36,103.1,107.5,28.24,1.256,62.62,64.48,26.21,20.22,53.21,24.64,21.88,23.7,17.97,23.05,10.57,34.2,49.21,1517.0,19.4,16.97,64.53,8.634,1158.0,25.03,5.992,30.22,37.29,18.62,15.91,100.9,9.188,43.58,81.53,29.83,15.67,13.84,48.74,43.54,20.93,42.57,42.09,162.3,21.88,69.63,33.31,206.9,33.99,72.38,38.35,63.25,18.59,180.2,22.89,10.84,162.9,145.5,28.81,1.834,68.14,232.9,90.53,30.76,93.15,101.7,18.77,12.21,106.9,121.7,11.25,34.19,7.174,806.4,68.05,22.14,93.37,16.9,37.96,32.67,29.56,32.65,22.12,31.08,44.51,19.27,24.0,328.2,23.98,41.33,16.1,45.39,33.47,21.31,50.85,49.51,49.22,239.4,337.0,61.12,230.7,24.34,35.38,16.39,99.89,339.1,18.74,125.0,30.54,299.0,310.4,41.02,6.217,4.926,6.616,3041.0,121.5,508.2,218.7,30.04,133.4,6.947,138.4,62.79,50.51,226.3,7.031,252.0,101.3,12.31,594.3,24.38,254.2,328.5,48.55,5.799,608.1,23.95,9.019,10.83,178.4,77.1,54.22,69.43,9.389,34.31,44.5,8.255,9.692,43.69,38.92,152.8,23.28,15.4,16.7,14.6,71.23,8.438,20.21,28.17,81.95,1.104,86.18,6.402,190.3,138.1,4.371,530.8,3.351,53.69,15.38,11.89,4.714,19.17,17.09,23.29,28.8,78.91,104.2,7.856,45.65,46.88,52.91,75.29,13.03,38.72,22.74,40.99,35.84,249.6,468.5,32.13,5.582,33.7,44.64,3.929,38.84,46.57,20.95,24.59,1007.0,80.71,26.98,138.8,29.64,13.17,14.6,42.52,20.49,41.22,26.21,71.9,66.68,59.71,52.12,4.226,3.028,86.47,23.53,14680.0,175.4,182.2,34.04,24.33,8.04,35.22,13.39,6.756,145.7,14.87,32.35,66.3,26.89,39.07,35.47,18.57,27.9,5.806,70.38,1003.0,398.5,47.93,137.5,198.7,120.9,32.8,80.02,160.0,11.61,109.8,55.11,18.02,15.32,2,64.5
6,21.05,1643.0,24.29,40.2,32.4,12.65,819.8,135.2,8.316,33.37,12.18,158.4,21.66,269.5,123.4,15.57,119.3,13.07,55.96,118.2,44.81,47.11,13.28,23.43,81.08,19.56,14.82,70.32,61.87,27.1,28.47,20.79,15.92,10.9,38.02,73.65,478.6,23.72,53.64,28.96,47.56,17.65,5.708,134.1,19.14,7.129,48.3,21.75,47.3,272.6,27.88,126.1,40.63,163.2,13.15,1.418,29.52,138.1,78.5,49.09,379.2,16.7,95.7,136.1,24.41,1.844,61.16,84.58,39.25,27.28,43.6,24.98,25.22,58.1,12.55,34.21,8.034,44.59,62.67,2206.0,15.78,30.67,92.23,12.22,1113.0,31.36,8.73,31.67,43.47,22.69,15.29,99.06,15.87,60.24,79.69,26.24,16.69,8.938,49.88,42.89,29.69,35.18,48.35,150.8,23.02,133.1,35.46,191.9,40.23,83.19,45.08,59.5,26.6,198.1,33.04,23.06,194.9,165.9,72.49,227.4,69.56,221.1,95.28,41.34,123.9,98.36,237.1,25.39,112.7,74.59,16.94,31.07,24.2,996.5,84.33,20.76,93.9,14.14,34.31,34.54,34.77,31.22,25.05,27.59,37.97,16.08,22.97,776.2,10.27,38.78,99.28,31.86,36.02,55.99,52.27,91.44,40.59,233.8,168.7,64.92,337.4,21.67,33.42,37.43,68.15,325.9,18.58,3688.0,39.48,441.7,390.2,71.19,7.587,4.664,3.539,2618.0,143.6,457.7,226.0,36.03,41.08,8.829,190.6,63.07,64.2,417.5,13.92,415.3,169.7,7.654,576.3,26.1,451.7,561.9,48.27,5.79,698.5,29.4,15.71,13.96,193.7,79.08,58.77,103.0,6.246,45.11,53.83,40.47,14.1,35.16,55.07,233.4,28.38,19.29,26.81,33.44,177.8,9.393,18.1,88.97,82.11,6.349,78.98,9.003,203.3,143.1,5.959,497.4,3.945,69.7,18.87,9.598,86.91,9.099,17.65,28.07,55.24,86.65,101.4,11.91,40.53,47.28,66.23,79.54,8.4,32.27,35.25,60.43,31.85,165.6,541.1,32.54,10.72,94.93,85.02,6.264,45.18,38.32,37.37,28.31,1377.0,80.0,39.61,343.7,39.8,16.46,78.8,40.01,16.38,42.39,23.09,80.22,54.76,70.21,46.95,10.97,9.715,127.6,59.4,11650.0,246.1,357.5,36.35,42.5,7.3,51.32,12.06,31.9,258.3,19.5,39.34,87.95,31.32,42.49,35.18,24.94,31.9,15.88,78.35,1273.0,281.2,50.86,136.8,254.6,140.0,33.08,90.04,214.3,25.39,158.4,32.8,7.722,22.57,2,64.5
8,8.146,558.7,7.144,42.95,27.76,12.81,127.8,174.9,1.961,72.77,3.686,211.8,17.59,161.8,133.2,18.67,143.7,11.22,69.58,82.05,11.77,5.79,16.45,27.26,33.7,7.431,20.46,63.87,7.877,29.94,23.5,12.32,17.92,10.34,29.02,67.49,430.9,34.41,53.69,27.81,39.35,6.132,6.948,88.85,43.23,24.3,31.29,105.4,43.03,158.8,20.04,149.2,44.83,68.33,9.449,2.229,33.61,205.4,71.07,50.63,271.7,29.01,62.14,159.2,28.76,5.879,79.77,56.44,24.81,31.59,133.8,42.5,34.9,9.475,15.49,52.07,4.355,41.44,47.21,2161.0,37.97,22.07,158.6,6.827,717.1,19.6,6.647,23.44,46.72,15.28,19.56,128.9,6.029,39.02,139.1,25.19,14.63,5.164,44.21,50.24,36.07,58.58,27.85,199.5,23.32,114.1,35.5,271.5,49.19,65.37,32.45,52.93,20.42,489.7,34.71,16.55,253.5,113.0,24.3,1.75,69.44,229.2,50.06,68.27,59.78,121.0,20.2,39.7,77.33,140.2,6.153,33.0,4.742,852.7,97.25,20.06,102.6,13.74,30.06,32.13,32.96,45.99,27.25,32.91,68.3,14.66,23.41,188.7,11.63,56.46,16.2,22.74,30.59,42.53,62.91,56.04,72.84,157.6,65.24,98.57,159.7,12.27,64.49,19.6,41.97,452.8,22.85,80.52,54.72,226.1,217.5,43.03,1.22,15.56,5.262,2148.0,156.2,412.3,328.9,31.47,18.51,6.307,180.1,78.92,63.96,157.3,6.176,231.4,95.37,7.059,482.8,14.39,206.8,353.8,50.51,8.19,935.4,32.91,16.45,8.558,171.6,69.28,52.75,84.94,10.97,36.99,81.97,29.26,14.28,20.19,38.67,113.7,28.22,24.36,19.48,26.59,76.42,14.99,17.33,18.23,82.85,2.245,57.33,2.684,124.2,323.0,8.943,246.3,5.469,55.46,22.82,14.64,2.022,11.76,14.62,47.12,36.12,69.09,96.0,2.668,31.78,35.8,48.22,90.96,12.97,45.91,16.21,95.84,46.83,440.0,317.3,48.42,7.625,141.7,93.66,11.34,60.23,46.94,26.89,25.91,2534.0,68.04,21.17,104.4,61.19,12.82,14.95,37.6,20.03,41.55,18.32,81.58,71.11,56.82,47.88,4.426,1.608,87.83,17.36,7793.0,223.3,188.8,34.39,51.43,14.43,55.72,11.37,10.85,241.1,15.92,29.76,75.21,39.84,13.02,23.99,21.51,20.01,3.217,78.75,1704.0,400.4,61.63,68.96,179.2,94.1,29.37,107.0,248.4,12.16,56.74,83.0,16.4,15.57,1,54.5
9,30.64,77.28,15.31,53.89,34.31,6.958,1858.0,88.51,16.86,6.133,12.14,40.64,16.74,106.0,89.73,33.86,56.5,10.67,55.32,39.21,6.763,6.339,7.649,10.29,43.35,13.18,7.391,104.5,9.336,26.29,56.86,13.62,21.9,2.194,35.14,46.13,330.6,24.54,43.47,44.73,32.87,11.19,22.72,65.48,11.66,7.536,37.28,10.26,28.53,955.3,25.31,38.89,37.85,595.4,15.42,22.45,26.74,56.48,90.57,64.14,237.4,14.15,98.97,147.1,25.6,9.938,68.67,46.03,41.2,20.73,30.1,8.899,13.78,10.31,30.49,32.83,21.31,76.8,29.26,217.6,5.714,28.76,38.48,43.62,629.5,15.5,50.78,8.074,21.82,16.09,28.48,98.39,24.6,51.73,16.47,15.79,19.94,43.37,44.52,53.57,33.65,12.24,25.27,363.7,25.93,50.98,75.07,418.9,30.61,121.9,96.79,67.77,24.99,91.85,2.539,17.61,88.84,130.3,37.16,5.855,56.18,251.1,46.04,33.0,30.83,91.41,94.74,7.118,45.66,53.58,10.01,20.71,12.88,159.1,45.37,17.97,114.7,38.1,31.1,29.11,20.27,29.34,22.01,22.72,54.46,44.83,29.17,251.5,35.19,18.02,21.56,29.06,37.7,13.14,37.57,78.68,24.66,190.6,34.93,9.468,261.7,8.774,16.99,48.36,57.11,135.8,15.3,75.93,9.501,340.1,120.3,112.3,7.525,10.62,23.87,1285.0,145.9,219.9,219.3,38.9,40.26,53.03,148.0,35.08,55.07,109.6,72.75,280.6,124.6,37.11,1134.0,29.28,410.7,600.0,53.64,27.85,241.1,39.29,16.1,18.73,103.0,108.3,45.69,249.8,21.83,27.19,68.98,16.56,14.3,28.49,75.05,54.3,24.8,17.16,8.361,16.32,22.94,54.85,34.83,36.27,75.23,11.48,360.0,25.84,302.3,240.4,23.63,372.9,10.13,56.58,46.8,16.05,2.388,46.46,20.72,9.31,58.78,81.41,121.8,5.836,21.48,53.7,83.63,103.4,25.47,61.74,56.88,54.42,34.56,177.9,465.7,37.66,15.79,846.6,37.51,28.98,14.82,40.01,27.48,38.55,1061.0,63.23,35.42,348.6,15.08,21.98,39.88,46.15,16.61,30.14,12.24,61.87,50.11,87.39,68.8,11.21,35.82,83.4,5.32,3937.0,157.4,370.2,33.01,60.4,17.98,31.15,18.61,100.0,340.6,21.64,17.29,43.11,17.05,27.06,37.02,26.82,15.54,14.3,89.87,1436.0,161.4,36.31,114.9,24.94,99.45,34.25,78.3,249.3,23.0,105.9,18.13,7.853,7.288,1,44.5
